sgRNA,Gene,DLD1_Ctrl_3_D0,DLD1__Ts2.8_D0,DLD1_Ts3.12.17_D0,DLD1_Ctrl_3_D10,DLD1__Ts2.8_D10,DLD1_Ts3.12.17_D10
AAK1_PKc_E2_40.1,AAK1,912,782,642,786,880,749
AAK1_PKc_E3_119.6,AAK1,349,304,195,277,272,370
AAK1_PKc_E4_109.3,AAK1,430,407,309,573,456,543
AAK1_PKc_E5_143.1,AAK1,460,359,346,288,401,395
AAK1_PKc_E6_122,AAK1,584,493,450,538,578,772
AAK1_PKc_E7_82.6,AAK1,588,525,374,427,561,655
AATK_PKc_E4_36,AATK,352,314,224,261,98,331
AATK_PKc_E5_119.11,AATK,716,546,497,636,689,627
AATK_PKc_E6_88.9,AATK,1100,910,747,801,1092,1146
AATK_PKc_E7_134.11,AATK,468,442,385,455,551,411
AATK_PKc_E8_85.7,AATK,1012,849,796,755,807,973
AATK_PKc_E9_122.1,AATK,976,841,661,508,624,829
ABL1_PKc_E4_120.11,ABL1,563,503,435,757,546,604
ABL1_PKc_E5_85,ABL1,1567,1414,1163,2019,1825,1739
ABL1_PKc_E6_178.11,ABL1,835,801,541,944,1276,814
ABL1_PKc_E7_185.15,ABL1,947,841,655,980,1093,1044
ABL1_PKc_E8_153.18,ABL1,1352,1192,995,1233,1685,1377
ABL1_PKc_E9_68,ABL1,1091,1021,716,1140,992,1188
ABL2_PKc_E10_68.4,ABL2,499,486,344,647,495,535
ABL2_PKc_E5_120.8,ABL2,247,250,158,158,228,221
ABL2_PKc_E6_85.1,ABL2,558,508,380,530,482,586
ABL2_PKc_E7_178.9,ABL2,693,665,488,685,758,795
ABL2_PKc_E8_185,ABL2,425,384,300,347,379,607
ABL2_PKc_E9_153.7,ABL2,1374,1077,956,1441,1539,1291
ACVR1_PKc_E10_131,ACVR1,922,889,675,916,932,1171
ACVR1_PKc_E11_102.2,ACVR1,1017,761,650,925,973,886
ACVR1_PKc_E6_40,ACVR1,724,648,456,634,737,690
ACVR1_PKc_E7_147.15,ACVR1,794,687,523,618,812,692
ACVR1_PKc_E8_276.19,ACVR1,243,230,192,248,288,252
ACVR1_PKc_E9_198.4,ACVR1,574,422,375,512,662,612
ACVR1B_PKc_E10_102.5,ACVR1B,344,329,283,299,621,442
ACVR1B_PKc_E4_193.4,ACVR1B,645,527,376,573,703,689
ACVR1B_PKc_E5_123.4,ACVR1B,931,857,719,950,949,1007
ACVR1B_PKc_E6_168.13,ACVR1B,1268,1138,946,1007,1096,1062
ACVR1B_PKc_E7_157.5,ACVR1B,1029,774,685,815,872,933
ACVR1B_PKc_E9_131.14,ACVR1B,521,560,433,497,442,693
ACVR1C_PKc_E4_193.16,ACVR1C,687,582,429,531,768,758
ACVR1C_PKc_E5_168.6,ACVR1C,624,574,432,557,565,556
ACVR1C_PKc_E6_157.1,ACVR1C,581,544,394,517,723,590
ACVR1C_PKc_E7_125.7,ACVR1C,349,334,249,373,561,415
ACVR1C_PKc_E8_131.1,ACVR1C,1024,869,792,1161,1426,1058
ACVR1C_PKc_E9_102.6,ACVR1C,1526,1255,1006,1587,1550,1271
ACVR2A_PKc_E10_131.1,ACVR2A,1370,1200,1014,1018,1424,1497
ACVR2A_PKc_E5_87.3,ACVR2A,418,387,237,358,542,468
ACVR2A_PKc_E6_144,ACVR2A,238,162,146,138,240,219
ACVR2A_PKc_E7_146.12,ACVR2A,445,473,367,454,483,502
ACVR2A_PKc_E8_115.6,ACVR2A,1240,1249,947,1026,1576,1314
ACVR2A_PKc_E9_139.9,ACVR2A,898,858,715,696,1013,1004
ACVRL1_PKc_E6_147.3,ACVRL1,586,567,458,454,600,708
ACVRL1_PKc_E6_147.8,ACVRL1,896,795,654,852,544,907
ACVRL1_PKc_E8_198.28,ACVRL1,268,236,194,269,240,277
ACVRL1_PKc_E8_198.4,ACVRL1,1110,874,698,1095,1255,1275
ACVRL1_PKc_E9_131,ACVRL1,453,429,326,432,263,450
ACVRL1_PKc_E9_131.6,ACVRL1,675,654,638,710,761,818
ADCK1_PKc_E5_159.11,ADCK1,578,626,406,609,676,679
ADCK1_PKc_E5_159.31,ADCK1,606,617,477,660,839,566
ADCK1_PKc_E6_159.6,ADCK1,441,373,276,497,604,621
ADCK1_PKc_E7_117.13,ADCK1,650,504,450,606,628,580
ADCK1_PKc_E8_150.18,ADCK1,821,688,495,788,930,634
ADCK1_PKc_E9_99.4,ADCK1,1119,996,802,1017,1182,982
ADCK2_PKc_E1_534.7,ADCK2,280,244,235,361,354,207
ADCK2_PKc_E3_129.17,ADCK2,830,685,547,925,975,818
ADCK2_PKc_E4_96.5,ADCK2,500,451,350,502,506,645
ADCK2_PKc_E6_129.2,ADCK2,309,255,219,317,337,330
ADCK2_PKc_E7_54,ADCK2,1171,1100,745,1268,1193,955
ADCK2_PKc_E8_114.6,ADCK2,663,552,418,758,816,639
ADCK3_PKc_E10_94.9,ADCK3,714,630,519,688,879,787
